-59.8902,46.0944,7.4279
-59.8107,46.146,8.645
-59.7527,46.0901,5.0104
-59.7013,46.0386,5.7225
-59.6375,45.9757,32.6649
-59.5637,45.9016,74.5183
-59.4837,45.8194,117.392
-59.4085,45.7454,176.198
-59.3229,45.6609,194.017
-59.2475,45.5815,121.149
-59.1487,45.4817,101.031
-59.0498,45.3792,100.17
-58.9412,45.2658,99.6496
-57.4928,43.6501,3123.84
-57.3941,43.5387,3475.85
-57.3085,43.4291,3697.31
-57.226,43.3221,3857.65
-57.1391,43.1954,3960.22
-57.0556,43.0559,4012.35
-56.9667,42.8949,4119.35
-56.8921,42.7064,4295.61
-56.8553,42.4894,4522.0
-56.8508,42.2749,4620.58
-56.911,42.0497,4723.25
-57.0978,41.8512,4836.49
-57.4059,41.6777,4846.8
-57.7087,41.5449,4897.44
-58.0402,41.403,4952.83
-58.3716,41.2608,4971.95
-58.6959,41.119,4956.29
-59.0499,40.9707,4957.34
-59.4343,40.816,4954.55
-59.7964,40.6786,4956.04
-60.1449,40.5194,4963.81
-60.5036,40.3772,4971.01
-60.8788,40.2244,4970.39
-61.2607,40.0571,4980.47
-61.6584,39.896,5038.26
-62.0735,39.7218,5029.23
-62.4324,39.5846,4976.07
-62.7841,39.4466,4954.39
-63.154,39.2987,4959.12
-63.5208,39.1536,4996.78
-63.9185,39.0087,4906.06
-64.276,38.869,4906.06
-64.6503,38.7334,4898.2
-65.0056,38.6012,4829.67
-65.3837,38.4535,4650.66
-65.7346,38.3125,4668.0
-66.0946,38.1689,4676.81
-66.4451,38.0265,4671.95
-66.8023,37.8833,4656.32
-67.155,37.7335,4813.14
-67.498,37.594,4625.76
-67.8446,37.441,4587.56
-68.1861,37.3013,4568.58
-68.5243,37.1533,4552.26
-68.886,36.9956,4541.92
-69.2305,36.8393,4506.7
-69.5549,36.695,4400.13
-69.8606,36.5542,4429.52
-70.1521,36.4291,4393.89
-70.415,36.3071,4366.56
-70.6425,36.195,4342.1
-70.9125,36.0803,4354.7
-71.1863,35.9455,4311.1
-71.4457,35.8106,4283.75
